Target_Feature,Output_Length,MSE,MAE,RMSE
ens160_aqi,1,0.0013142907992005348,0.030885867774486542,0.036253148817730785
ens160_aqi,6,0.003381771733984351,0.05218437686562538,0.058153002794218214
ens160_aqi,12,0.002262808382511139,0.03264130651950836,0.04756898551063643
ens160_tvoc,1,0.0008168870699591935,0.01903117448091507,0.028581236326639083
ens160_tvoc,6,0.0008571091457270086,0.011795684695243835,0.02927642645076425
ens160_tvoc,12,0.001128952600993216,0.014613279141485691,0.03359988989555198
scd41_temperature,1,0.0007672332576476038,0.012532178312540054,0.02769897575087577
scd41_temperature,6,0.004335128236562014,0.05000606179237366,0.06584169071767533
scd41_temperature,12,0.006349990144371986,0.06573216617107391,0.07968682541281204
scd41_humidity,1,0.025697343051433563,0.1597261279821396,0.1603039084097252
scd41_humidity,6,0.0073827034793794155,0.07835115492343903,0.08592265987141817
scd41_humidity,12,0.008175981231033802,0.08187814801931381,0.0904211326573263
scd41_co2,1,0.0010606673313304782,0.03014216758310795,0.03256788803914798
scd41_co2,6,0.0017741793999448419,0.02970641665160656,0.04212100900910188
scd41_co2,12,0.003124658716842532,0.040656693279743195,0.055898646824789344
